Year,coal,diesel,gas,solar,wind
2005-06,2421.02,314.77,541.53,,
2006-07,2309.93,257.37,331.38,,
2007-08,2026.6,20.84,614.35,,2.97
2008-09,1511.79,5.12,1462.06,,
2009-10,1362.44,3.48,1592.52,,
2010-11,1460.27,176.36,1423.9,,
2012-13,1083.06,4.97,1923.18,,
2013-14,1459.53,135.19,1648.75,,28.74
2014-15,2087.09,58.64,1580.84,,
2015-16,1976.66,45.58,1600.84,,
2016-17,1725.75,44.02,2174.17,,35
2017-18,1713.58,35.85,2174.87,,35
2018-19,1383.84,1.78,2298.6,1.77,38.3
2019-20,2508.25,1.62,2483.08,4.15,38.3
2020-21,1148.68,10.25,1942.42,155.49,85.4
2021-22,1199,9,2632,94,86
2022-23,1089,16,3484,38,88
